date,years,spread_bp
2020-01-01,3.0,23.112
2020-01-01,7.0,67.574
2020-01-01,10.0,90.103
2020-01-02,3.0,22.636
2020-01-02,5.0,44.155
2020-01-02,7.0,66.69
2020-01-02,10.0,89.045
2020-01-03,3.0,22.972
2020-01-03,5.0,45.835
2020-01-03,7.0,67.338
2020-01-03,10.0,90.549
2020-01-06,3.0,23.529
2020-01-06,5.0,46.049
2020-01-06,7.0,68.367
2020-01-06,10.0,91.794
2020-01-07,3.0,23.882
2020-01-07,5.0,46.665
2020-01-07,7.0,68.708
2020-01-07,10.0,92.089
2020-01-08,3.0,23.513
2020-01-08,5.0,45.113
2020-01-08,7.0,67.718
2020-01-08,10.0,90.259
2020-01-09,3.0,23.037
2020-01-09,5.0,43.844
2020-01-09,7.0,66.335
2020-01-09,10.0,88.923
2020-01-10,3.0,22.818
2020-01-10,5.0,44.195
2020-01-10,7.0,65.724
2020-01-10,10.0,88.265
2020-01-13,3.0,22.647
2020-01-13,5.0,44.133
2020-01-13,7.0,65.871
2020-01-13,10.0,88.287
2020-01-14,3.0,22.864
2020-01-14,5.0,44.716
2020-01-14,7.0,66.344
2020-01-14,10.0,88.981
2020-01-15,3.0,22.894
2020-01-15,5.0,44.715
2020-01-15,7.0,66.466
2020-01-15,10.0,89.039
2020-01-16,3.0,22.752
2020-01-16,5.0,44.054
2020-01-16,7.0,65.788
2020-01-16,10.0,88.29
2020-01-17,3.0,22.603
2020-01-17,5.0,44.053
2020-01-17,7.0,65.603
2020-01-17,10.0,88.101
2020-01-20,10.0,88.186
2020-01-21,3.0,23.35
2020-01-21,5.0,45.763
2020-01-21,7.0,67.058
2020-01-21,10.0,90.365
2020-01-22,3.0,23.469
2020-01-22,5.0,45.071
2020-01-22,7.0,67.094
2020-01-22,10.0,90.153
2020-01-23,3.0,23.607
2020-01-23,5.0,46.02
2020-01-23,7.0,67.68
2020-01-23,10.0,91.232
2020-01-24,3.0,24.107
2020-01-24,5.0,47.025
2020-01-24,7.0,69.064
2020-01-24,10.0,93.293
2020-01-27,3.0,25.034
2020-01-27,5.0,49.308
2020-01-27,7.0,71.772
2020-01-27,10.0,96.653
2020-01-28,3.0,24.617
2020-01-28,5.0,46.646
2020-01-28,7.0,70.461
2020-01-28,10.0,94.563
2020-01-29,3.0,24.566
2020-01-29,5.0,48.016
2020-01-29,7.0,70.436
2020-01-29,10.0,94.869
2020-01-30,3.0,24.856
2020-01-30,5.0,47.535
2020-01-30,7.0,70.763
2020-01-30,10.0,95.306
2020-01-31,3.0,25.684
2020-01-31,5.0,50.155
2020-01-31,7.0,72.571
2020-01-31,10.0,97.434
2020-02-03,3.0,26.431
2020-02-03,5.0,50.075
2020-02-03,7.0,73.331
2020-02-03,10.0,97.672
2020-02-04,3.0,24.789
2020-02-04,5.0,47.061
2020-02-04,7.0,71.019
2020-02-04,10.0,94.874
2020-02-05,3.0,23.328
2020-02-05,5.0,44.855
2020-02-05,7.0,68.258
2020-02-05,10.0,90.939
2020-02-06,3.0,23.152
2020-02-06,5.0,45.335
2020-02-06,7.0,67.87
2020-02-06,10.0,90.859
2020-02-07,3.0,23.45
2020-02-07,5.0,46.129
2020-02-07,7.0,68.733
2020-02-07,10.0,92.226
2020-02-10,3.0,23.246
2020-02-10,5.0,45.271
2020-02-10,7.0,68.123
2020-02-10,10.0,91.118
2020-02-11,3.0,22.938
2020-02-11,5.0,44.834
2020-02-11,7.0,67.564
2020-02-11,10.0,90.387
2020-02-12,3.0,22.406
2020-02-12,5.0,43.81
2020-02-12,7.0,65.991
2020-02-12,10.0,89.052
2020-02-13,3.0,22.191
2020-02-13,5.0,43.75
2020-02-13,7.0,65.927
2020-02-13,10.0,88.731
2020-02-14,3.0,22.383
2020-02-14,5.0,44.266
2020-02-14,7.0,66.185
2020-02-14,10.0,89.259
2020-02-17,10.0,89.272
2020-02-18,3.0,22.656
2020-02-18,5.0,44.674
2020-02-18,7.0,66.545
2020-02-18,10.0,89.892
2020-02-19,3.0,22.653
2020-02-19,5.0,44.518
2020-02-19,7.0,66.304
2020-02-19,10.0,89.852
2020-02-20,3.0,22.616
2020-02-20,5.0,45.356
2020-02-20,7.0,66.899
2020-02-20,10.0,90.959
2020-02-21,3.0,23.392
2020-02-21,5.0,46.546
2020-02-21,7.0,68.268
2020-02-21,10.0,92.898
2020-02-24,3.0,26.607
2020-02-24,5.0,53.071
2020-02-24,7.0,74.489
2020-02-24,10.0,100.161
2020-02-25,3.0,29.112
2020-02-25,5.0,55.409
2020-02-25,7.0,77.84
2020-02-25,10.0,103.105
2020-02-26,3.0,30.026
2020-02-26,5.0,57.685
2020-02-26,7.0,79.465
2020-02-26,10.0,105.638
2020-02-27,3.0,34.211
2020-02-27,5.0,64.581
2020-02-27,7.0,86.8
2020-02-27,10.0,112.313
2020-02-28,3.0,36.657
2020-02-28,5.0,66.478
2020-02-28,7.0,90.466
2020-02-28,10.0,114.912
2020-03-02,3.0,37.173
2020-03-02,5.0,64.6
2020-03-02,7.0,89.664
2020-03-02,10.0,112.012
2020-03-03,3.0,39.428
2020-03-03,5.0,71.326
2020-03-03,7.0,92.972
2020-03-03,10.0,114.646
2020-03-04,3.0,39.558
2020-03-04,5.0,65.835
2020-03-04,7.0,90.369
2020-03-04,10.0,111.711
2020-03-05,3.0,42.195
2020-03-05,5.0,73.253
2020-03-05,7.0,93.261
2020-03-05,10.0,113.38
2020-03-06,3.0,50.946
2020-03-06,5.0,83.157
2020-03-06,7.0,101.748
2020-03-06,10.0,120.466
2020-03-09,3.0,84.65
2020-03-09,5.0,110.94
2020-03-09,7.0,120.592
2020-03-09,10.0,135.159
2020-03-10,3.0,76.823
2020-03-10,5.0,106.75
2020-03-10,7.0,121.282
2020-03-10,10.0,136.548
2020-03-11,3.0,81.821
2020-03-11,5.0,117.418
2020-03-11,7.0,128.612
2020-03-11,10.0,142.898
2020-03-12,3.0,100.727
2020-03-12,5.0,138.875
2020-03-12,7.0,145.906
2020-03-12,10.0,156.251
2020-03-13,3.0,89.06
2020-03-13,5.0,107.488
2020-03-13,7.0,131.451
2020-03-13,10.0,142.383
2020-03-16,3.0,88.09
2020-03-16,5.0,124.226
2020-03-16,7.0,133.643
2020-03-16,10.0,145.056
2020-03-17,3.0,91.751
2020-03-17,5.0,123.233
2020-03-17,7.0,138.785
2020-03-17,10.0,149.475
2020-03-18,3.0,106.25
2020-03-18,5.0,140.969
2020-03-18,7.0,149.591
2020-03-18,10.0,158.876
2020-03-19,3.0,122.877
2020-03-19,5.0,141.838
2020-03-19,7.0,152.636
2020-03-19,10.0,162.749
2020-03-20,3.0,115.453
2020-03-20,5.0,151.798
2020-03-20,7.0,143.903
2020-03-20,10.0,169.235
2020-03-23,3.0,116.187
2020-03-23,5.0,121.563
2020-03-23,7.0,133.312
2020-03-23,10.0,153.029
2020-03-24,3.0,97.692
2020-03-24,5.0,107.974
2020-03-24,7.0,121.891
2020-03-24,10.0,135.129
2020-03-25,3.0,88.488
2020-03-25,5.0,103.168
2020-03-25,10.0,128.922
2020-03-26,3.0,84.193
2020-03-26,5.0,96.658
2020-03-26,10.0,123.783
2020-03-27,3.0,89.398
2020-03-27,5.0,111.889
2020-03-27,10.0,129.754
2020-03-30,3.0,94.442
2020-03-30,5.0,107.875
2020-03-30,10.0,133.959
2020-03-31,3.0,96.937
2020-03-31,5.0,113.051
2020-03-31,7.0,121.294
2020-03-31,10.0,134.027
2020-04-01,3.0,110.24
2020-04-01,5.0,126.144
2020-04-01,10.0,143.833
2020-04-02,3.0,114.36
2020-04-02,5.0,123.313
2020-04-02,7.0,136.592
2020-04-02,10.0,144.08
2020-04-03,3.0,116.52
2020-04-03,5.0,127.55
2020-04-03,7.0,137.466
2020-04-03,10.0,145.534
2020-04-06,3.0,114.266
2020-04-06,5.0,116.969
2020-04-06,7.0,130.666
2020-04-06,10.0,139.823
2020-04-07,3.0,107.444
2020-04-07,5.0,112.493
2020-04-07,7.0,124.127
2020-04-07,10.0,133.957
2020-04-08,3.0,101.717
2020-04-08,5.0,104.886
2020-04-08,7.0,117.833
2020-04-08,10.0,127.687
2020-04-09,3.0,81.776
2020-04-09,5.0,81.849
2020-04-09,7.0,99.823
2020-04-09,10.0,111.451
2020-04-10,10.0,104.414
2020-04-13,3.0,72.699
2020-04-13,5.0,83.14
2020-04-13,7.0,94.453
2020-04-13,10.0,106.11
2020-04-14,3.0,69.738
2020-04-14,5.0,82.608
2020-04-14,7.0,95.656
2020-04-14,10.0,108.226
2020-04-15,3.0,72.58
2020-04-15,5.0,87.416
2020-04-15,7.0,99.146
2020-04-15,10.0,111.903
2020-04-16,3.0,75.413
2020-04-16,5.0,87.928
2020-04-16,7.0,101.318
2020-04-16,10.0,114.053
2020-04-17,3.0,75.453
2020-04-17,5.0,86.968
2020-04-17,7.0,100.472
2020-04-17,10.0,112.824
2020-04-20,3.0,80.295
2020-04-20,5.0,93.474
2020-04-20,7.0,103.893
2020-04-20,10.0,114.814
2020-04-21,3.0,86.539
2020-04-21,5.0,98.063
2020-04-21,7.0,107.942
2020-04-21,10.0,118.075
2020-04-22,3.0,86.673
2020-04-22,5.0,94.481
2020-04-22,7.0,106.474
2020-04-22,10.0,116.614
2020-04-23,3.0,84.461
2020-04-23,5.0,93.689
2020-04-23,7.0,104.434
2020-04-23,10.0,115.208
2020-04-24,3.0,84.009
2020-04-24,5.0,94.144
2020-04-24,7.0,105.671
2020-04-24,10.0,116.596
2020-04-27,3.0,83.561
2020-04-27,5.0,93.168
2020-04-27,7.0,105.514
2020-04-27,10.0,117.953
2020-04-28,3.0,83.333
2020-04-28,5.0,91.781
2020-04-28,7.0,104.475
2020-04-28,10.0,117.023
2020-04-29,3.0,79.459
2020-04-29,5.0,86.885
2020-04-29,7.0,101.381
2020-04-29,10.0,114.343
2020-04-30,3.0,76.844
2020-04-30,5.0,86.979
2020-04-30,7.0,99.225
2020-04-30,10.0,112.354
2020-05-01,3.0,79.297
2020-05-01,5.0,90.4
2020-05-01,7.0,101.916
2020-05-01,10.0,115.651
2020-05-04,3.0,80.82
2020-05-04,5.0,90.896
2020-05-04,7.0,103.052
2020-05-04,10.0,116.396
2020-05-05,3.0,80.686
2020-05-05,5.0,90.065
2020-05-05,7.0,102.761
2020-05-05,10.0,116.45
2020-05-06,3.0,83.043
2020-05-06,5.0,93.224
2020-05-06,7.0,105.277
2020-05-06,10.0,119.287
2020-05-07,3.0,83.033
2020-05-07,5.0,92.169
2020-05-07,7.0,104.972
2020-05-07,10.0,118.933
2020-05-08,3.0,82.354
2020-05-08,5.0,90.98
2020-05-08,7.0,104.333
2020-05-08,10.0,117.903
2020-05-11,3.0,83.038
2020-05-11,5.0,92.61
2020-05-11,7.0,105.101
2020-05-11,10.0,119.321
2020-05-12,3.0,83.263
2020-05-12,5.0,93.303
2020-05-12,7.0,105.273
2020-05-12,10.0,119.042
2020-05-13,3.0,86.24
2020-05-13,5.0,96.709
2020-05-13,7.0,108.624
2020-05-13,10.0,122.974
2020-05-14,3.0,86.445
2020-05-14,5.0,95.324
2020-05-14,7.0,108.694
2020-05-14,10.0,122.337
2020-05-15,3.0,86.139
2020-05-15,5.0,95.806
2020-05-15,7.0,108.304
2020-05-15,10.0,121.583
2020-05-18,3.0,82.394
2020-05-18,5.0,90.416
2020-05-18,7.0,104.847
2020-05-18,10.0,117.634
2020-05-19,3.0,80.674
2020-05-19,5.0,90
2020-05-19,7.0,102.886
2020-05-19,10.0,116.079
2020-05-20,3.0,76.596
2020-05-20,5.0,83.95
2020-05-20,7.0,98.937
2020-05-20,10.0,111.995
2020-05-21,3.0,75.732
2020-05-21,5.0,85.958
2020-05-21,7.0,98.251
2020-05-21,10.0,112.497
2020-05-22,3.0,77.097
2020-05-22,5.0,87.206
2020-05-22,7.0,100.029
2020-05-22,10.0,114.23
2020-05-25,10.0,114.573
2020-05-26,3.0,73.756
2020-05-26,5.0,83.124
2020-05-26,7.0,97.575
2020-05-26,10.0,111.677
2020-05-27,3.0,70.358
2020-05-27,5.0,78.943
2020-05-27,7.0,94.414
2020-05-27,10.0,109.097
2020-05-28,3.0,67.653
2020-05-28,5.0,77.946
2020-05-28,7.0,92.423
2020-05-28,10.0,107.98
2020-05-29,3.0,66.763
2020-05-29,5.0,77.4
2020-05-29,7.0,91.722
2020-05-29,10.0,108.182
2020-06-01,3.0,67.449
2020-06-01,5.0,78.851
2020-06-01,7.0,92.836
2020-06-01,10.0,109.313
2020-06-02,3.0,66.197
2020-06-02,5.0,75.641
2020-06-02,7.0,91.187
2020-06-02,10.0,107.274
2020-06-03,3.0,61.656
2020-06-03,5.0,73.04
2020-06-03,7.0,88.289
2020-06-03,10.0,105.292
2020-06-04,3.0,60.155
2020-06-04,5.0,72.445
2020-06-04,7.0,87.903
2020-06-04,10.0,105.512
2020-06-05,3.0,54.132
2020-06-05,5.0,64.961
